sku,ourName,ourSlug,currentlyHasRealImage,matchedName,confidence,numbersMatch,imageUrl,approved
PMS-G013,Gemer 2,gemer-2-pms-g013,false,Azomax 2.5,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/product-jpeg.jpeg,
PMS-G014,Gemer 3,gemer-3-pms-g014,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-G015,Gluformin XL 1000,gluformin-xl-1000-pms-g015,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-G016,Glynase MF,glynase-mf-pms-g016,false,AZULIX 2 mf,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-25.webp,
PMS-G017,Glyciphage G1,glyciphage-g1-pms-g017,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-G018,Glyciphage G2,glyciphage-g2-pms-g018,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-G019,Glyciphage SR 500,glyciphage-sr-500-pms-g019,false,Azithral 500Mg,0.25,true,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/76761-1-800.webp,
PMS-G020,Glizid MR 30,glizid-mr-30-pms-g020,false,Aceclo MR,0.25,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/06/shopping-23.webp,
PMS-G021,Glizid-M XR 60,glizid-m-xr-60-pms-g021,false,Glizina &#8211; M,0.167,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-G022,Gemcal D3,gemcal-d3-pms-g022,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
PMS-G023,Gelusil MPS Syrup,gelusil-mps-syrup-pms-g023,false,Glizina &#8211; M,0,false,https://pratigyamedicalstore.in/wp-content/uploads/2026/07/images-2.jpg,
